Participant,System,What_I_Liked,What_I_Disliked
P1,A,Line chart made trends super obvious,"Brushing was imprecise, hard to select exactly what I wanted"
P1,B,Box plots showed outliers immediately,Heatmap colors were hard to distinguish
P1,C,Dropdown and slider were so easy to use,Faceted plots were too small
P2,A,Clean and simple design,Scatter plot got messy with many points
P2,B,"Regression line was cool, showed correlation strength","Too many different chart types, took time to understand"
P2,C,Small multiples let me see all regions at once,Strip plot was cluttered
P3,A,Colors were consistent across views,Sometimes hard to deselect
P3,B,Heatmap gave good overview,Box plots are confusing if you don't know statistics
P3,C,Felt most in control of the interface,Bubble chart was hard to decode (too many visual channels)
P4,A,Easy to understand overall,Brush selection took trial and error
P4,B,Liked the variety of chart types,Mental effort was high
P4,C,Filtering was straightforward,Small text in facets
P5,A,Bar chart was intuitive,Wished for undo button
P5,B,Box plots very informative,Color scheme inconsistency confused me
P5,C,Interface was intuitive,Wanted larger individual plots
